;Subject;ProlificNo;Age;Sex;check.RESP;BlockCondition;RESP_LTM;CRESP_LTM;TypeLTM;TypeSTM;RESP1;RESP2;RESP3;RESP4;RESP5;RESP6;CRESP1;CRESP2;CRESP3;CRESP4;nWords
1;45;;19;kobieta;t;long;;;;Unrelated;klapki;stopa;jazz;agat;NA;NA;klapki;stopa;jazz;agat;4
2;45;;19;kobieta;t;long;;;;Related;pianino;kuzyn;lew;modrzew;NA;NA;pianino;kuzyn;lew;modrzew;4
3;45;;19;kobieta;t;long;;;;Unrelated;szczupak;feniks;mokasyny;pomidor;NA;NA;szczupak;feniks;fiolek;pomidor;4
4;45;;19;kobieta;t;long;;;;Related;x;lizaki;stal;walec;NA;NA;hrywna;lizaki;stal;walec;4
5;45;;19;kobieta;t;long;pomidor;pomidor;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;45;;19;kobieta;t;long;feniks;feniks;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;45;;19;kobieta;t;long;fiolki;fiolek;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;45;;19;kobieta;t;long;szczupak;szczupak;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;45;;19;kobieta;t;long;x;modrzew;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;45;;19;kobieta;t;long;x;lew;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;45;;19;kobieta;t;long;pianino;pianino;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;45;;19;kobieta;t;long;walec;walec;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;45;;19;kobieta;t;long;x;hrywna;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;45;;19;kobieta;t;long;agat;agat;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;45;;19;kobieta;t;long;stal;stal;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;45;;19;kobieta;t;long;jazz;jazz;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;45;;19;kobieta;t;long;kuzyn;kuzyn;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;45;;19;kobieta;t;long;lizaki;lizaki;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;45;;19;kobieta;t;long;stopa;stopa;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;45;;19;kobieta;t;long;klapki;klapki;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;45;;19;kobieta;t;short;;;;Related;sandaly;x;pstrag;bursztyn;NA;NA;sandaly;harpia;pstrag;bursztyn;4
22;45;;19;kobieta;t;short;;;;Unrelated;lody;krowa;tata;szesciokat;NA;NA;lody;krowa;tata;szesciokat;4
23;45;;19;kobieta;t;short;;;;Unrelated;euro;swierk;saksofon;braz;NA;NA;euro;swierk;saksofon;braz;4
24;45;;19;kobieta;t;short;;;;Related;ogorek;gozdzik;metal;palec;NA;NA;ogorek;gozdzik;metal;palec;4
25;45;;19;kobieta;t;short;pstrag;pstrag;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;45;;19;kobieta;t;short;krowa;krowa;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;45;;19;kobieta;t;short;szesciokat;szesciokat;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;45;;19;kobieta;t;short;bursztyn;bursztyn;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;45;;19;kobieta;t;short;euro;euro;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;45;;19;kobieta;t;short;x;metal;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;45;;19;kobieta;t;short;gozdzik;gozdzik;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;45;;19;kobieta;t;short;sandaly;sandaly;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;45;;19;kobieta;t;short;saksofon;saksofon;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;45;;19;kobieta;t;short;x;harpia;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;45;;19;kobieta;t;short;lody;lody;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;45;;19;kobieta;t;short;ogorek;ogorek;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;45;;19;kobieta;t;short;swierk;swierk;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;45;;19;kobieta;t;short;tata;tata;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;45;;19;kobieta;t;short;metal;braz;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;45;;19;kobieta;t;short;x;palec;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;45;;19;kobieta;t;short;;;;Related;glowa;rock;turkus;kalosze;NA;NA;glowa;rock;turkus;kalosze;4
42;45;;19;kobieta;t;short;;;;Related;pietruszka;chryzantema;minotaur;okon;NA;NA;pietruszka;chryzantema;minotaur;okon;4
43;45;;19;kobieta;t;short;;;;Unrelated;babcia;batonik;aluminium;funt;NA;NA;babcia;batonik;aluminium;funt;4
44;45;;19;kobieta;t;short;;;;Unrelated;zyrafa;jodla;trojkat;kontrabas;NA;NA;zyrafa;jodla;trojkat;kontrabas;4
45;45;;19;kobieta;t;short;aluminium;aluminium;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;45;;19;kobieta;t;short;chryzantema;chryzantema;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
